Running run
/home/float/g4xk7-mvbjj/HDU/hd-hws/szdl/hdu-dd/lab16_traffic_light/build/Vtraffic_light_display_unit
Time: 227, Second: 15, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 229, Second: 15, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 231, Second: 15, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 233, Second: 15, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 235, Second: 15, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 237, Second: 15, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 239, Second: 15, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 241, Second: 15, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 243, Second: 16, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 245, Second: 16, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 247, Second: 16, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 249, Second: 16, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 251, Second: 16, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 253, Second: 16, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 255, Second: 16, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 257, Second: 16, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 259, Second: 17, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 261, Second: 17, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 263, Second: 17, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 265, Second: 17, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 267, Second: 17, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 269, Second: 17, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 271, Second: 17, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 273, Second: 17, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
